Database 2000 
Gender|Height|Weight|Age|Socio-Eco
Female|117.393388713412|64.6797298119028|41.4636163514161|Poor
Male|159.99624053756|82.2270727820179|30.8364571469478|Poor
Male|161.232073710924|85.1243604933337|47.8254840554127|Middle Class
Male|174.218955562681|59.4061151487961|36.1588585465126|Poor
Male|129.272979128024|40.3051818417407|49.8838099958713|Middle Class
Female|154.624032660689|42.2387462592992|50.9685805819047|Poor
Female|185.472485644391|78.5547908066676|36.8016841844986|Middle Class
Male|184.972449658978|55.4633117997232|33.7607456437506|Rich
Female|124.859426776739|31.1074223907413|50.1089121656489|Poor
Male|141.799584352294|33.9034911938537|37.0466476409699|Middle Class
Female|143.481414755143|77.6131893669976|33.3201989438927|Poor
Male|190.088197662826|94.9602205064454|63.2003951565607|Rich
Male|152.072147301219|50.2397493632737|21.0748474011728|Rich
Female|169.929234657932|60.0049848317816|34.7515129407737|Middle Class
Male|157.481915825756|43.6793697554224|34.0104212814427|Middle Class
Female|202.45668267564|65.4631611250557|40.2855506653081|Rich
Male|118.605102153506|44.9603589029449|44.1025634575286|Rich
Male|192.702112994766|51.2005865578175|35.9250774747779|Rich
Female|148.983183505561|34.3702650578199|51.9088492288937|Poor
Female|193.943272819031|32.3354496709041|50.3652963728513|Rich
Male|167.0233040352|52.6824865514846|24.1542042131303|Poor
Female|126.749416426459|63.400357711602|22.1301616648597|Rich
Male|173.912484142603|29.86939724452|38.4193829545333|Rich
Female|133.336687554211|57.3187966177238|40.6561432428956|Middle Class
Male|158.012144835547|62.4740183968108|30.04828359899|Poor
Male|171.419914309259|41.879630414514|50.9181704389101|Rich
Male|141.716228911242|39.3089059360993|39.9597264441695|Rich
Female|149.314175319451|46.1523919754747|42.469587853688|Middle Class
Male|146.953003078988|53.2328260163735|35.7438893079389|Rich
Male|162.259876600266|51.2860535974825|34.1041649022772|Poor
Female|105.360250748233|69.1978283065809|18.699700496829|Rich
Male|164.253154677283|65.3304476101189|25.9424328075821|Rich
Female|134.252027610828|15.7919648317755|33.7386738246001|Rich
Female|148.432083132332|41.520966183163|27.1957395634455|Middle Class
Male|205.361830457929|77.4485231181838|58.9940809476889|Poor
Male|213.082964766751|40.4765580426612|36.0000845973233|Poor
Female|107.731839740496|74.9401451329539|28.3855777198431|Middle Class
Female|174.003619456732|52.6433438175983|43.8986303013694|Poor
Female|126.202444774113|70.0714659034308|32.5713505678885|Middle Class
Female|162.649044297232|63.9212605398503|45.6653852215736|Rich
Male|164.559123918767|23.2024961338625|41.0498777017051|Rich
Female|138.493585606667|36.5161092904073|26.0576587507898|Middle Class
